Tweet,labels_for_settingB
rule number 1. face your problems head on.,1
happy mothers day to all those moms out there &amp; dads who do the job of both!,1
ohmss is love.,1
ah shite. i fell off my bike as i was crossing the road. bloody pedal caught the floor due to me turning too hard. uninjured but embarrassed,0
 downfall of the #gop/#rwnjs party. happy days indeed. <happy> #gophatespoorpeople #gopwantswar #gopbudget no more. <happy>,1
i really need to get a fake i.d.,0
my dad is making baked potatoes and its making my day 20x better,1
i got a bad habit of disappearing on people,0
i swear to god if i ever see with her hair in a top knot. i am going to conserve the shit out of her.,0
i really hate going to a show and feeling like you wasted money cause its so bad.,0
 love you! thanks lol yessss i'm squishy...and fabulous!! <happy>,1
i like the sound of farsi.,1
i wish i can kill every hoe ass nigga out there breaking hearts,0
 hmm ok. i'll mark yours next time and we'll see how you hold up,1
love yourself. love life. never let any negative forces drive you away from your goal. your dreams.,1
im on so much pain every time i breathe i feel like i'm being stabbed <sad>,0
anyways that's my evening thesis. write don't sing. your writing will improve immensely.,1
if you have something to say about me just fucking say it. k thanks.,0
 how nice from a scale of 1-10,1
 just. truly feel that tories are setting labour up for another 10-15 years of big wins again.,1
reality check salvatore. that won't be happening. not now - not well -- {i could have said 'ever' but even that felt like a -- ,0
nakaka in-love ka nicky song <happy> <love>,1
 i'm in english and your distracting me,0
 how sweet this krisha bond is i wish both of you relive that bond again..love u both,1
 being a journalist must suck some days...reporting without any emotion... no envy here.,0
is anybody else about to cry bc of zayn again or is it only me,0
packing my clothes based on whether or not they will look cute with cowboy boots! texas here i come!! #vacation,1
 thank god! may their road to healing begin!,1
with mooc's. the university provides free courses &amp; intermediary companies make $ by charging for completion certificates. #hrtechconf,1
hopefully in the process. there will be less misinformation about the technical value of tmt floating around. (you're welcome guys),1
#confidencedonthate thanks to my good friend .,1
 oh yeah geez. graduated from the uni across the street. you think i'd remember it. love the show.,1
gonna sleep bc bored,0
 every time you tweet. i rise from the dead and cry at the same time because you didn't notice me,0
who loves instagram? join my mentor &amp; friend. bardi as she teaches you rare #socialmedia tricks &amp; #instagram!...,1
no gluten. dairy. caffeine and now no sugar. this is going to be hard. but i can do it and i am so determined to get better and help myself.,1
if really the activists on twitter are fighting for change. then bola tinubu's case is not any different. what the hell!!!,0
feeling useless to everyone around me.,0
listening to #prism makes paper writing a million times better.,1
so....top priorities for my wedding - photographer and videographer. damn it. soooo expensive.,0
i could listen to your favourite bands with you all day.,1
 *ace stays on the couch. watching and smiling*,1
why china is so tough for uber to crack -,0
helping out at this blood drive for community service,1
it was yesterday but yea evry moment count. them. us.#friendship,1
this semester is gonna be mad i can just tell already,0
if you walk the footsteps of a stranger. you'll learn something new.,1
: gooooaaaallll!! what a beauty... with a give &amp; go w/carter folk &amp; wong puts the backhand past jarry 1-0! #yql,1
washing my darling baby bottles. washing clothes. cooking and preparing for work! #singlemom,1
love this! current leader draws inspiration from his sister ellie.,1
you know what? i've had it. i've been bending over backwards trying to be nice to you and i don't care anymore.,0
2. the fun and crazy side.,1
 not talking bout the g i'm talking about supposedly dick riding lol like what,1
hate when ppl assume shit fucking mind your own business ya nosy fuck.,0
 same. but tonight was the best we've played all season i thought,1
i like how the rest of the full house cast just bypass all mary-kate and ashley questions. think they're too good for the show. smh.,1
another one of those octopus falling from the sky kind of nights...,0
 i'd love to discuss this but unfortunately you're making no sense...,0
 i love your friends,1
 forgetting what is behind and straining toward what is ahead. i press on toward the goal to win the prize... - apostle paul,1
eclectic bedroom romantic french bedrooms naturally neutral,1
nothing like finding out you've been being lied too by someone you trust.,0
planning is a great one. being organized. i cant do that. i can spur of the moment know what needs done and work down the list priority wise,1
 you're really pretty and you dance fucking amazingly im so jealous. ur layout is great and i like your new @,1
 miss meh squish? haha,1
today i'm speaking at . really excited. mostly b/c last time i did this. i successfully recruited the illustrious ,1
as for my first post here is the kiss from my sisters wedding this past saturday. #maysecond,1
 but explaining that would have ruined your own trolly article. i guess,0
omg people piss me the fuck offffffffffffffff dont yell in my face becuz u thiiinkkkkkk ur right when 2/3 people understand it and u dont,0
like shit that fucked me up the first time i found out,0
for ks birthday i will be throwing her a cuddle party. everyone invited must cuddle. no exceptions.,1
always looking over my shoulder cause i don't ever wanna miss you #fifthharmony bo$$ #stuckinourheads ,1
 the thing is though. i'm a filipino living in dubai. and are you a fucking idiot? i live in the poor side of dubai. i dont,0
haven't seen any team go to #fcb and press them so high up the pitch - really interesting tactical game #fcb #bayernmunich,1
do you ever just get tempted to complete run away and disappear?,0
the best friend is excited. the best friend misses me.,1
 all my friends think i'm crazy for thinking that but i don't see why they wouldn't. ducks are dicks,0
 my advice is to go to their admissions department and figure it out. i highly doubt they can do that shit to you,0
i volunteer stfu abby ho skank boring man-stealing bitch. #yr,0
sign petition: #ukip to apologise for stirring up fear:,1
 smd you fuck,0
thank you so much for tonight ,1
 i think moments take better pictures. capture better vignettes.,1
make a point to listen to your relationships and be honest about what you hear.,1
 hahaha you got it,1
chris brown is one of the most talented people to ever live.,1
basically i think i'm going to be happy either way. so here's hoping it's as an exciting a match as the others have been today! #6nations,1
my english project is about to earn me an academy award,1
from making games at tojam may be for fun. but it can also be profitable,1
it's all about the mothafuckin money,0
i mean i'll probably get drunk like every day for the first few weeks while at university but that is totally acceptable,1
excellent start to the day #bike #fitness #calgary,1
no. i'm not obsessed. he just makes me happy when i'm sad.,1
we love detox ideas.....what's better than water? water. water and more water.....increasing your water intake is...,1
 sounds good! talk to you then!,1
tomorrow is totally blank and i'm here lonely. i need someone .<sad>,0
people are more likely to cry at night because the lack of sleep makes emotions hard to control.,0
intense emotions are an invitation to make important changes. be honest with yourself about what you really want to do next. #newperspective,1
why did i stop listening to a day to remember this song is great #ifitmeansalottoyou,1
i miss you.,1
messi and neymar r individual talents lucho. training less for 1/2 days doesn't fade their talents. u of all should understand this.,1
7 cities that are starting to go car-free:,1
 they're pretty good. you should check them out.,1
 thank you for sharing. love!,1
 it was the sweetest thing. and they both had those big smiles &amp; my heart was happy,1
 smile girl cuz tomorrow is friday.,1
if you have the courage,1
hey siast. it's playtime! come check out our new learning tools by the kelsey campus library foyer from 9-4. enter to win a prize too.,1
 you're welcome! haha <happy>,1
shame on u fund raising off tpp. you're no better than palin. you've done nothing for poor/middle. pbo has.,0
most happiest place on earth <happy> #myhomeawayfromhome #obx,1
 i was gonna @ you in it earlier but even i knew it was too fucked up,0
. if it was advised as public event. fair game. otherwise. not cool. either way. it beats tracking on icy roads in iowa in jan,1
did you miss this? put life into perspective and appreciate small pleasures,1
goodnight lomls love yall so much ,1
if you need anymore motivation. i'll punch you in your f-ckin face! lmao the best thassit ,0
enough. leave me alone,0
the stakes were high. lives were on the line. but no matter how hard i tried. won the day. #snakesandladders,1
it's never easy but it carries immense benefits.,1
 why does nobody ever mention their other policies. i guess vacuums are not very interesting.,0
makes me even more happy,1
. love so much about listening to cbc on the radio. so informative. entertaining and truly canadian.,1
i can mostly see my floor. and it's scary.,0
 have fun fav babes!!!!,1
finally got round to watching the new broadchurch... safe to say i'm hooked already!,1
 lions must be the dirtiest team in the league. cunts,0
 i've tried she won't talk to me,0
 how do you find samosa king/embassy's sweets? (the selection is mind-blowing.),1
 god bless you,1
i'm getting excited for christmas already. i just can't help it. i've heard 'all i want for christmas is you'. and now i'm in the mood,1
well.i guess i really deserved this night-off myself after yesterday and today..so i'mma listen to the other awaited cd from ,1
im stupid ok? i help but it turn out to be a mess. i was wrong. im stupid af ok? sorry.shouldnt have tell you. shouldnt have tell you.,0
yes love this pic of me n all if my friends <love>,1
if you have time. i would like to get some-,1
 i was expecting him to return but he didn't. i think now he won't show up until the go home show for wm.,0
everyone should speak the truth. respectful. tactful truth. life would naturally fall into place as it's meant to. &amp; flow. no manipulations.,1
 it isn't the boat that rocks. it's the motion in the ocean <tease>,1
ugh. i really need braces. my teeth are hurting so badly,0
hopefully i get them keys this week,1
anyone wanna kill me,0
we have to make the boys proud #bestfandomca2015 directioners,1
your problems? idc about you why should i even care about your problems youre irrelevant irrelevant af,0
without being aware and experiencing the ways of thought. love cannot be. j. krishnamurti,1
either way. i am so happy for bruce! i don't care what your views are. everyone deserves happiness and comfortability and he is getting his!,1
 oh sweet. <happy> you seem pretty organized. i was thinking maybe grad school too. because there's always room for knowledge.,1
reasonably-priced cars girls love -,1
 david tennant for the win!,1
the best way to cheer yourself up is to try to cheer somebody else up. - mark twain,1
i love you endlessly so,1
 xd you guys are cool kids~,1
can you guys like my videos on youtube,1
 u flatter me,1
finally caught view from the bridge: miller's play stripped clean. down to a steel backbone - and unlocked in the process. van hove: master.,1
stop being such a little bitch! your a grown ass man.,0
 of course. we had a great time with this troop.,1
 oh fucking dear. who runs these accounts? how can you make such simple mistakes?,0
omg its so nice out.,1
 -__- ok. im finally here. bout to log in!,1
goood morning and happy thursday!!! we all get to have the life we deserve!!!! everything you want to and get to...,1
i seriously can't stop thinking about you...,1
the murderer is a girl yes,0
 slow down on the reading. ahaha. no jk. i had to double check to make sure i didn't type uteruses. so it's okay. lol.,1
shop with me on carousell. i think you'll like it!,1
it was like pointless to come to school today......,0
: : this is adorable,1
is it weird that i don't care that you talk to me anymore? awkward,0
omar khadr's odds of winning u.s. appeal look good. legal expert says,1
 you are pretty. #pretty #prettygirl #cutebrat #wealhybrat #snotty,1
the game just got real ratchet hahaha,1
glad to be home wiff my bby finally,1
drama that's over now? i'm so fucking annoyed right now and i can't even talk to you about it because we're not friends anymore. i cried +,0
gonna be sad for the next 3 months,0
congrats to the volleyball team! love you all!,1
 humbly accepted and thank you. #diepflap #breastreconstruction #breastcancer #patientadvocacy,1
almost died on a bench. ok.,0
 i spent it watching the spiderman musical with my son. #redskinspride,1
 i love your bag!!,1
 email me at lauren@aspiringkennedy.com and i'll send you more details! it's a cool gig. i think. <happy>,1
 don't you worry amal. i'm doing maths as well !,1
i actually can't remember what its like being scared of approaching a girl.. got rid of my gwababa waaay long ago!,1
sport is full of bad people. let's try and keep that and their personal lives apart. no? *(not condoning that.),0
fun psychology facts here. smiling is the first thing you should put on and the last thing to take o,1
my real inspiration,1
 forgot to give you your necklace! i will send! hope u had gr8 flight. such a blessing to spend time w/u.,1
realmadrid. we still need to be focused and not underestimate juve cuz that's where we'll make a big mistake. every game is a final. #cr7,1
 thanks for making me look so beautiful,1
i have a very easy-going character. i do not like to argue. my values are loyalty. honesty...,1
ally is my favorite,1
 yeah. why not. fuck the case study. top of the hour.,0
 excellent suggestion. all's well here by the lake. busy but good.,1
goodnight . i'm happy? i don't think so,0
 i loved black ops and black ops 2. so i'm optimistic about black ops 3,1
&gt; force you to co-operate. funny. from my experience. that was the customary mikaelson repertoire for getting things done. &gt;,1
#sagittarius likes to keep it fresh.,1
people need to learn how to admit when they're wrong. better put that pride to the side mama,0
 i aint callin you a truther,0
pro 16:30 a shifty eye betrays an evil intention; a clenched jaw signals trouble ahead.,0
im thankful for my friends and family and i also want to apologize to them,1
life's just a big pile of horse crap,0
so u can ficking murder them,0
this some new shit.,0
 bruh. my life. but i'm learning to enjoy the journey!,1
only 2 client revisions means today is a good day.,1
good with just the word. sorry <love>,1
huh? : we are going to win this game #orlandopiratesrekaofela,1
 low key night for. dinner. wine and a movie.,1
its raining in vegas. i'm hoping for thunder and lightning. would be so #awesome,1
ok im satan true,0
live a better life by controlling your stress. control your stress by not worrying about things that you can't change.,1
pontoon boat ride today on lake dillon. if the rain stays away. if it's raining. today may be a good nap day.,1
 good face abbeer,1
a burrito is like a mini buffet,1
today stats: 5 followers. 5 unfollowers and followed 2 people via,1
detailed report by #imb on harmondsworth prison. this kind of detail and presentation would be welcome in #ireland.,1
stayin in watching hoops and having a beer. i'm done wasting time with people that don't really care about me,0
 tell that to the countless of girls he has fucked and tossed away on the tmh. wwa and otra tour sis,0
winter is so much better than summer,1
it's tagged #same this is amazing,1
can i please have an older brother like ? thanks.,1
 order fulfillment technician is kind of a bullshit name. couldn't you have found a card to give the function a title?,0
i love getting texts from friends who are in the middle of books i've rec'd (this one's the martian),1
yay i'm in bed and it's friday. what more could i want,1
 good luck! fingers crossed for you.,1
reassembling &amp; cleaning up after our 3rd birthday-big job but worth it. massive love &amp; thanks to those that partied. open @ 5pm,1
today's gonna be fun,1
i swear stuff just be making me mad. especially when it's old bro.,0
zara i love you,1
not giving reese a pass tho. his drafting is y we have to try to lure free agents here. but at the end of the day. guys have to want to come,1
former residents of a reading home damaged in a fire returned to watch the demolition.,0
 you have your license you have reached ultimate status you better enjoy it fool,1
but when they do you'll know. as those eyes will be so bright. the only thing you'll see. is a world that shines inside with starry light.,1
you no-eyebrow having. cake face. screw faced. tranny looking ratchet heifer! my goodness the shit i see #mypooreyes #icant #noshame,0
 nice humble brag about going to an ivy there. #big10forever,1
 #bbcnews naga sneering about ukip again...the bbc really can't help itself!,0
the only thing scarier than the idea of jeb bush becoming president is someone letting mark cuban play the role. #scaryshit #downwithwasps,0
true but try telling that hr officers and job agencies and they will reject you.,0
today was not good from the start &lt;&lt;,0
 watched a few of them walk around the store. get tired and one literally said fuck this. i'm just gettin a scooter,0
&lt;it's a powerful weekend freedomhouse! join us.&gt;,1
how stupid i was to think u was different. i was so wrong was. despise u. hate u. can't stand u! #life #notalkingterms,0
man this sucks. im great when im around my friends. but if im not with them for like an hour i just get so horrifyingly cripplingly sad,0
jamaican 1-2-3 was fantastic. interviews afterwards were almost as good #onelove,1
 you are a wonderful and special human being and i consider myself blessed to know you.,1
just really fucking bad. pray for me.,0
me and my cousin after the gym !! my other cousin still working out !! gettin ripped....don't mess with us !!,0
im about done trying to be friends with everyone,0
my beautiful friend and team mate. susy diaz!! you bring light into my wprld!!!!muah!!!!!!!,1
baby lion ~ proud walk,1
 wow. you're so lucky!,1
today i rescued a dog and returned it safely to its owner. i am a hero.,1
she was such a lovely girl. she even got me liam access and cared for me. she was beautiful and we ended up talking for days +,1
going out on saturdays is weird because you spend the whole sunday being hungover then go straight back to work the next day,0
 her voice. a soft whisper; i love you. too.. -my- john..,1
 welcome back amigo,1
 how can any1 b straight when becki exists . she is a goddess omg,1
they probably wrote the concession speech 30 min ago hahaha!,1
 omg kaoru is my favorite i don't kno wwhy and like i love mori a lot too fri ck,1
now that the embargo is lifted. i can say that i've been playing monster hunter 4 ultimate for a couple weeks and it is very. very good.,1
cant wait for the super bowl,1
goooood morning and happy saturday!!!! ever feel as if you are being tested????? i sure have. especially...,1
your secret is safe with me,1
encourage your child to be creative in the way they see society and their role in society.,1
i feel like randomly getting belligerent drunk rn ............ wtf is wrong with me.,0
so sick of fake ass people lieing to me like c'mon im not gonna get hurt over your ignorance and pettiness i've been through harder stuff,0
lululemon athletica inc inventory issues scare investors again,0
damn i didn't know dj era was so mature in age. he looks younger.,1
i'm determined to wake up early tomorrow,1
i just wanna day drink. listen to good music. play 2k. and watch a few movies. who's down? #happysaturday,1
the thought of having to go to practice later just makes me ugh.....,0
download the free rider app. go riders!,1
i'm playin. and i'm winnin.,1
learn to appreciate what you have. before time makes you appreciate what you had.,1
#sagittarius knows how to make you laugh.,1
 hahahahaa omg bless u,1
this is all your fault !!!,0
feel free to slide thru anytime,1
taking some time to enjoy a cup of coffee before getting out the vacuum really means a sudden swarming of cats as i get comfy on the couch.,1
 gonna kill some people,0
 please help temporary foreign workers gain a path to citizenship. filipinos are assets to canada and deserve better.,1
 i havent even bothered to watch the last season since i thought season 6 was so so bad. friends have told me last season was awful,0
i'm kinda sad right now and i don't know how to really talk about it.,0
sometimes i hate my mom.,0
 i'm glad you enjoyed it! <happy>,1
#pisces: why youre the best option you take will also be very certain and very sure their partner is the right one.,1
but i have no crush hahahah its okay save that for kelly,1
guys i had a sort of relapse yesterday- i mean not completely how i used to harm. but i definitely screwed up a bit. feeling really low rn,0
the weather is perfect.,1
we have to win,1
 it's super nice yarn and i'm worried that trying to unravel them now might ruin the yarn and that would be a big waste tbh so,0
the sakura petal dancing on my palm. beauteous. frail. ephemeral. reminds me of you.,1
 what? you winked at that bitch so. i decided to talk to him..is that a problem?! she was confused when he jerked her away,0
i hate when people accuse me of something that i didnt do. snapped on for no reason???? the fact that u dont like me????,0
cries! an hour early for my meeting... i need to stop overestimating traffic in lagos.,0
i cannot wait for my life in a months time. everything will be so less stressful,1
one of the greatest pleasure in life is doing what people say you can't do.,1
started eating our lunch and then a fire broke out fuark me dead what is with today,0
 i got amazing news!!!! you have to hear this,1
 great call as well and i totally totally agree with the 10 years ago thought. truly amazing. we all know kerr is winning it,1
like some of yah females lucky. i'm 21 &amp;&amp; can't catch a fucking case ill put that 16 yr old bitch through the ground bruh rns,0
#sagittarius are not selfish. if you need and they can give then you will have.,1
 cold (11) miserable and a bit drizzly.guess you're in the garden in shorts?,0
there are memorable characters who are badass. like deadpool. duke nukem and ellen ripley. but all of them have something on top of that.,1
#izombie is only on week 2 &amp; i am already so happy to see &amp; the rest of the cast again #love,1
happy feelings will attract more happy circumstances so always stay happy!,1
reading comprehension ... i love you #upcat,1
we were mother-daughter book club snack heroes with our deliciously awesome cupcakes! #ldnont,1
 i love that song soooooooo much,1
what to do with yummy chicken leftovers? make an even yummy-er chicken-egg wrap 4 breakfast! #deliciousandnutritious,1
i love it when i actually enjoy my homework.,1
so looking forward to today! well after work!,1
 i'm so happy for you kim hyun joong! keep up the good work!. <happy>,1
 you could probably look up the specs on it to see what kind of watts and what not you need.,1
but there are some people who remember the infinite diversity and promise of the infinite earths... some who dare to hope,1
kara could be such an amazing addition to the team. and instead. she's being reduced to... whatever this is.,1
 gayer than cam newtons awful throwing motion,0
 heaven help us all,1
anxiety is stressing me out,0
 but you are right about the difference in talent on the line. i bet chip upgrades that line in the draft.,1
i feel like this is our peak ahahhaa #bestfandomca2015 directioners,1
 #1984play &amp; i tried to adapt the whole structure of the novel. not just one slice of it. which was a challenge,1
 no i have never monitored his texts. trust is important.,1
'ha ha they sure are acting like ppl from [that region]!!!!!! xdd' sjut the fuck up ommfg,0
i'm simply wish there were people in this world crazy like me. cardio let go nyahhh!!!!!,1
i want city to win. chelsea going up too far will switch of the interest in league. btw epl is always fascinating in respect for top 4 spots,1
another sad day for #newwest. thinking of all of those who list their homes.,0
the aftermath! it's sunny today though! haaaapppy friday!,1
 essentially it's all about what you're willing to risk. the higher you aim. the higher the stakes.,1
lp on the way!!!! percolate by catchy hooks on itunes! #edm #partywithedmmusic,1
today was a good day... (it probably helped that i slept for 12 straight hours last night. 8 pm - 8 am),1
we like to eat...eat...eat #tacos and #taquitos.  if you agree,1
you've all disappointed me. so there's that whole thing,0
thanks for all the likes sidewinders55567,1
he seriously needs to freshen up on his voicemail leaving protocol!!!!!!!,0
kinross reports solid q1 earnings. agrees to settle class action suit,1
 use the chrome web browser &amp; install the free extension called hola. you can view many sites often blocked to canadians,1
ticket examiner on the train just got a right earful off of me. scotrail are yet again a fucking joke,0
shut the fuck up,0
 jk but you're the one bullshittin,0
mmmmmm mmmm good,1
be careful of connecting with someone that's with you for what you do for them rather than being with you for who you are.,0
sometimes will have to accept the fact that losing is not always a loss but actually a win!,1
safe to say i am exhausted. thank god that's over #work,1
 more chance of rochdale winning town of the year,1
 good on you for challenging it though,1
guys who can freestyle properly are always winning in my books,1
then again why should people who vent care about what other people think.,0
today will be a wonderful day i declare it right now !,1
i'm waiting for taylor swift to like some awesome thing about ot4 on tumblr after she did the last rumble,1
 thanks <happy> and you too!,1
 u.s. economist touts scarborough as 'best ethnic food suburb',1
i'm in an awful mood so i'm just gonna sleep,0
duke shouldn't have even been a number one seed. they didn't win the acc regular season or acc tournament and they lost to scrub teams.,0
 thank you. time to rest. #diepflap #breastcancer #breastreconstruction,1
 tea would be lovely. *hug*,1
not very happy with my life,0
 best team lost,0
weeellllpppp i got a paid job offer in fl today so that's nice,1
military appreciation night at the fair tonight. that's worth checking into.,1
pray that the pain in my throat and neck heal. please don't let this turn into something worse....,1
 nearly in birmingham!!!!! haha <kiss>,1
it feels like i'm sorta drowning. like there's fluid in my lungs and every time i cough i just wake up gracelynn ugh,0
black friday prices are out!! go to this link to see all the great deals running through till monday evening....,1
we can be in love with someone and open up wounds from past relationships through our art.,1
i love how the ps3 plays videos from usb sticks so i can watch my japanese television dramas from the comfort of my living room,1
amelie and i attempting to decorate is a joke,1
thanks all for coming out to the stream! i'll be doing another one tonight at 6pm cst!,1
i swear to god. this babysitting is not what's up. especially not w/ this headache,0
when the day is over and you have not reached your goal. that is not failure. it simply means you bounce back to fight another day.,1
you would think someone would find a way to make the dmv a little more efficient so you don't have to wait hoursss,1
i'm living in the moment. but i'm working for the future. everything i do now. i make sure will benefit me somehow in my future.,1
 during school at my advisory. i jumped up and down and danced in front of my friends hahaha,1
kind of day that just makes me want to crawl into a hole. haven't eaten all day. and i'm crying all over myself trying to do stat hw.,0
i missed my fam <love> it was good seeing them,1
 i feel like hb's personality is me sometimes,1
someone i know voted conservatives. well i hope you know when i stab you. ain't no one gonna fucking save u cus the nhs &amp; police are dead,0
i could fall in love with you.,1
: *cries in it's a different world from where you come from*,0
it was so nice to escape the horrible heat and enjoy the awesome weather of redondo beach. i finally got a chance to relax and get better,1
annoyed w the male population 99.8% of the time,0
if they knew the only reason anyone even talks to me is because of the people that fucked me over.,0
 - seen it and loved it. hilarious. smart and catchy tunes to boot!,1
trust is built from the ground up.,1
finally knowing how he feels about me is good just wish he didnt live in a different country,1
well that couldn't of been more awkward,0
 im doing pretty good. how about you?,1
wish i had been in #yeg for #walrustalks to hear all this good medicine.,1
witnessed the most dirty ice hockey fight ever. player number 4 for hull university needs to be kept on a leash #welldoneuob,0
this is why i don't like boys and i don't talk to them.,0
man.. we were the best.,1
be amazing today! do something amazing today! make someone else feel amazing today! happy saturday <love> sweat cardio,1
 ok ur really cute,1
 it was a really good ep. watched it today during a break in revision.,1
getting such a bad cold... can i please stay in bed,0
happy new year to all.,1
the grand ole opry gets hip to #hashtags to harvest a new audience online,1
 same here! not too sure when he will get some playing time though.,1
some people know how to make me laugh <laugh> <laugh>,1
life is good. i should be more grateful for what is working in it.,1
my new girl friend ,1
 it's because my tweets are protected. feel free to use the link of course! interesting how legal strategies influence change,1
 thank u for having me. i am honored to be here with so many #amazing #travelagents #palaceexp14,1
people don't take depression seriously and that make me so fucking mad. she uses the word depressed like it's noting.,0
i love listening to my second family on every morning,1
you wanna make a tweet about her again and i promise i'll kick your fucking ass in a matter of seconds.,0
 yes freakin finally right?!,1
 got my hands in the cookie jar again. so throw yo j's up 'cause i gotta summer surprise in store!,1
 thank you for the follow. can't wait to hear some of your music!!,1
 that looks like it's going to be painful later on...,0
a true serenity and pureness of yourself. a cheerful mind. it is the strong mind that passes through many difficulties. be strong &amp; certain.,1
oh yeah? well who made you boss?,0
got too . its too late #raw  : this triple threat match gonna end in interference or some bullshit,0
 feel sorry for all the housemates in with perez. not getting to know any of them. no longer watching!,0
 well. meddling yes. but definitely trying to make things right because he's a good person <happy> #powerrangers,1
 perhaps influencing that younger generation to embrace their own beauty... a hopeful thought.,1
i hate when i go out of my way to help someone who really needs me and they just shit on me. uh. fuck no. ain't nobody got time for that,0
can you get more pathetic?,0
very sad to hear about the very great anne barton. 'whose every work.. came forth example and remains so. yet',0
 acha kia. i think it's best to praise overall <happy>,1
monday best day to look for a job via shelby-utica patch,1
 i'm crying omg hinata always running into dangerous types on his way to the bathroom,0
i love you albania.,1
and i'm glad to have my best friend by my side. as well as my family.,1
be faithful in small things because it is in them that your strength lies.,1
karma is a bitch,0
 fucking hate you,0
 good evening. have an amazing weeked,1
don't know how you can say some of the shit you say to me.,0
bad night=horrible day tmw,0
i'm having a panic attack and they didn't even have anything really bad to say. d:,0
i hate love. because in love only pain.,0
 i haven't finished my project yet. i'm leaving before i have to turn it in though haha,1
we were ambitious but successful this time,1
 how i love speaking exams!,1
sometimes you have to get knocked down lower than you've ever been. to stand up taller than you than you ever were.,1
he thinks i prank called him like wtf i don't even like you,0
as much as we come at cops. we should be truly thankful for our freedom.,1
shit might just go down this weekend.,0
 people seem to forget how bad he looked last year. i'm more than happy with our secondary vs this kid.,1
racism is here to stay. sadly,0
yhe girl that i strongly dislike got tickets to see anddddd meet royce,0
get your laundry done by us this week. see how much time you save! we collect and deliver laundry <happy>,1
i am so excited u know in case u guys already didn't know how excited i am,1
i may just kill a bitch tonight omg,0
things are so much easier as friends,1
 that's the risk you have to be willing to take. in order to bring justice into this world of chaos.,1
 soon bby sooon like maybe even tomorrow i think haha!,1
happy it is friday. ready for a productive day at work! #selfie,1
if you ever think i hate religions in general. i don't. i just hate this.,0
 lucky omg,1
i hate young love it will never last !!,0
this is me trying to be the bar tender/waiter of your dreams. @ headshots,1
white people never wanna admit when race is involved. i'm not even surprised man ...,0
always try to be positive. optimistic. and hopeful .. #healingthoughts,1
i cannot take the distance. its killing me,0
your potential is limited only by your enthusiasm and your imagination. dr larry rosia #saskpolytech2015,1
very true! #inspiration #selflove #selfworth #abundancetapestry via tinybuddha,1
ha. hahahaha. hahahahaha so over everything.,1
 the steve logan stuff was great. has me fired up!,1
i fucking swear every time i go to eagle rock mall i get stared at as if i'm a naked statue or some shit.,0
ohh shit! wtf!? o_o this cop just shot that guy in the back. live. in the middle of the road!,0
 baked this! yuummm <tease> happy friday,1
both looking good hope you are having fun wish i could b in nashville with one if my friends ,1
my pleasure!,1
happy easter! #mysunshine,1
 nasty ass mississippi. im here until july. <skeptical>,0
 okey dokie guys just kill us,0
 i love you,1
#sagittarius honesty may be taken as criticism. but it's rare that you find an enemy of theirs.,1
sad news from over the weekend as a woman died in ware,0
 i'm so proud,1
me: *sweats furiously* how do i feel about this besides terrified,0
 i want to win! #wingls #gls2014 #beauty,1
ah......happy to be running to the post office before the noon rush to mail out some brush sets and a couple of...,1
 love u lots,1
this is hilarious. ,1
fell into the vicious trap of drinking soda once again,0
we're just 6 days away from bringing the soul of house to atl: become a soulhead &amp; hear what great music's all about!,1
. i agree that's why i'm in favour of bringing down borders as opposed to erecting new ones. uk is all about working together,1
tired of feeling like the bad guy,0
on the bright side i thought of a script idea in the midst of overthinking,1
ready to be home,1
 also this is the entire nekoma team aka the cats. look at my cute children.,1
i'm not perfect. i make mistakes. i hurt people. but when i say sorry. i actually mean it.,1
in that mood! #favoriteshow #feelingeeky #teamstiles,1
 also hey soos. i'm glad you're safe ya big lug <love>,1
mmmm fells soooo good to b home & in my own bed!!!!! loveing it right now.,1
 by being a bitch,0
 so happy for you!!!,1
 thank you friend! <happy>,1
couldve gotten a lot more hw done tonight but i kept getting distracted and i hate myself a little bit for that but oh well <skeptical> thats life,0
i don't see why someone would want to fuck up someone else's happiness.... lonely bitch,0
#nofilter! finally found a solution for my #wavy front- #fingercoils #baby! im loving it cause it blends muc,1
skin confidence leads to self confidence. #dailyphilo #noreasontohide,1
thanks ! and good luck #ignite #omaconf2013,1
 awh thanks! #lovelife #traveloften,1
 girl we were talking about her face and how scary it was when she does that,0
engage your child in community events. meetings. gatherings etc etc.,1
want to begin healing your heart? forgive yourself &amp; receive love now.,1
last : the grass king's concubine is awesome ,1
 you're v v v v v cute and one of my favs ily,1
this is why me and brosia aren't friends,0
 shut up you whore no one knows im gay,0
i don't want to get up. fuck statistics. <sad>,0
 i can help u choose some good ones tho yh??,1
i hate people say it's part of life... but that doesn't mean we have to sit and take this bullshit.,0
 man i didn't even notice. i'd say odd. grr.,0
wow how beautiful is she's also the first cut woman in the ufc #ufcfightnight,1
i hope your day was good.,1
the sound of an f-16 screaming by over my head sends vibrations down my spine and i get the biggest freedom boner.,1
nuruwjdhdh why did i even mention only tears lol i might cry again,0
this traffic is fucking ridiculous. my planner loses her shit if i'm late for our meetings and this time it isn't even my fault.,0
passionate. strong. ready for changes - these are my main qualities. i am very active and ...,1
carrying literally 10 grocery bags in one hand and kingston in the other up the stairs haha workout of the day,1
